algo,size,dist,trial,time_ms,comparisons,swaps,reads,writes,correct
heap-sort,100,random,1,0,1013,99,2336,821,true
heap-sort,100,random,2,0,1013,99,2336,821,true
heap-sort,100,reversed,1,0,944,99,2174,764,true
heap-sort,100,reversed,2,0,944,99,2174,764,true
heap-sort,100,nearly,1,0,1077,99,2485,873,true
heap-sort,100,nearly,2,0,1077,99,2485,873,true
heap-sort,1000,random,1,0,16842,999,36834,11575,true
heap-sort,1000,random,2,0,16842,999,36834,11575,true
heap-sort,1000,sorted,1,0,17583,999,38559,12206,true
heap-sort,1000,sorted,2,0,17583,999,38559,12206,true
heap-sort,1000,reversed,1,0,15965,999,34753,10814,true
heap-sort,1000,reversed,2,0,15965,999,34753,10814,true
heap-sort,1000,nearly,1,0,17490,999,38370,12152,true
heap-sort,1000,nearly,2,0,17490,999,38370,12152,true
heap-sort,10000,random,1,1,235318,9999,502300,149330,true
heap-sort,10000,random,2,1,235318,9999,502300,149330,true
heap-sort,10000,sorted,1,0,244460,9999,523586,156954,true
heap-sort,10000,sorted,2,0,244460,9999,523586,156954,true
heap-sort,10000,reversed,1,0,226682,9999,481698,141694,true
heap-sort,10000,reversed,2,0,226682,9999,481698,141694,true
heap-sort,10000,nearly,1,0,243526,9999,521129,155870,true
heap-sort,10000,nearly,2,0,243526,9999,521129,155870,true
heap-sort,10000,nearly,3,0,243526,9999,521129,155870,true
heap-sort,10000,nearly,4,0,243526,9999,521129,155870,true
heap-sort,10000,nearly,5,0,243526,9999,521129,155870,true
heap-sort,100000,random,1,9,3018889,99999,6352662,1824337,true
heap-sort,100000,random,2,8,3018889,99999,6352662,1824337,true
heap-sort,100000,random,3,8,3018889,99999,6352662,1824337,true
heap-sort,100000,random,4,8,3018889,99999,6352662,1824337,true
heap-sort,100000,random,5,8,3018889,99999,6352662,1824337,true
heap-sort,100000,sorted,1,5,3112517,99999,6569445,1900852,true
heap-sort,100000,sorted,2,5,3112517,99999,6569445,1900852,true
heap-sort,100000,sorted,3,5,3112517,99999,6569445,1900852,true
heap-sort,100000,sorted,4,5,3112517,99999,6569445,1900852,true
heap-sort,100000,sorted,5,5,3112517,99999,6569445,1900852,true
heap-sort,100000,reversed,1,5,2926640,99999,6137335,1747432,true
heap-sort,100000,reversed,2,5,2926640,99999,6137335,1747432,true
heap-sort,100000,reversed,3,5,2926640,99999,6137335,1747432,true
heap-sort,100000,reversed,4,5,2926640,99999,6137335,1747432,true
heap-sort,100000,reversed,5,5,2926640,99999,6137335,1747432,true
heap-sort,100000,nearly,1,5,3103937,99999,6548238,1892644,true
heap-sort,100000,nearly,2,5,3103937,99999,6548238,1892644,true
heap-sort,100000,nearly,3,5,3103937,99999,6548238,1892644,true
heap-sort,100000,nearly,4,5,3103937,99999,6548238,1892644,true
heap-sort,100000,nearly,5,5,3103937,99999,6548238,1892644,true
